business date,sedol,isin,figi,ticker,bbgid,name,offer rate,bid rate,last rate,crowding,short interest,shortinterestnotional,shortinterestpct,s3float,s3sipctfloat,indicativeavailability,s3utilization,daystocover10day,daystocover30day,daystocover90day,original si,close
05/01/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,-0.01,6831962.75,2.11E+09,0.018,3.87E+08,0.0177,1.20E+08,0.6,2.450400021,2.450400021,2.450400021,7273246,302.19
06/01/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0.02,7283883.27,2.20E+09,0.0192,3.87E+08,0.0188,1.20E+08,0.64,2.619003422,2.619003422,2.619003422,7346096,295.29
07/01/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,7437985.77,2.20E+09,0.0196,3.87E+08,0.0192,1.20E+08,0.63,2.457114636,2.457114636,2.457114636,7375249.5,298.42
08/01/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0.01,7827815.63,2.34E+09,0.0206,3.88E+08,0.0202,1.19E+08,0.67,2.67121832,2.67121832,2.67121832,7440001,300.46
09/01/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,7851089.14,2.36E+09,0.0207,3.88E+08,0.0203,1.19E+08,0.67,2.650583449,2.650583449,2.650583449,7450072.5,296.93
12/01/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,-0.01,8196850.2,2.43E+09,0.0216,3.88E+08,0.0211,1.19E+08,0.62,2.826098568,2.826098568,2.826098568,7509074.5,291.41
13/01/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,8207638.66,2.39E+09,0.0216,3.88E+08,0.0212,1.19E+08,0.66,2.730454141,2.759020377,2.759020377,7517524.5,294.74
14/01/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,8065101.97,2.38E+09,0.0212,3.88E+08,0.0208,1.19E+08,0.67,2.546238015,2.584937097,2.584937097,7502446.5,293.27
15/01/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,8149607.99,2.39E+09,0.0215,3.88E+08,0.021,1.19E+08,0.67,2.352753963,2.404883178,2.404883178,7522107.5,286.95
16/01/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,-0.01,7529048,2.16E+09,0.0198,3.87E+08,0.0194,1.19E+08,0.62,2.051802435,2.156197762,2.156197762,7529048,290.74
20/01/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,7531426,2.19E+09,0.0198,3.87E+08,0.0194,1.19E+08,0.57,2.055311524,2.115079543,2.115079543,7531426,289.44
21/01/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,7172698.65,2.08E+09,0.0189,3.87E+08,0.0185,1.20E+08,0.58,2.086043729,2.214475259,2.214475259,7536623,297.25
22/01/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0.01,7735559.21,2.30E+09,0.0204,3.87E+08,0.02,1.19E+08,0.62,1.81298458,1.94288585,1.94288585,7630451,310.32
23/01/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,-0.01,7120694.15,2.21E+09,0.0188,3.87E+08,0.0184,1.20E+08,0.62,1.579074458,1.69181712,1.69181712,7583976.5,312.39
26/01/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,7189988.77,2.25E+09,0.0189,3.87E+08,0.0186,1.20E+08,0.58,1.57868824,1.634345023,1.634345023,7618702.5,309.66
27/01/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,7254857.7,2.25E+09,0.0191,3.87E+08,0.0187,1.20E+08,0.55,1.663393169,1.658580355,1.658580355,7560386.5,306.75
28/01/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,7247137.94,2.22E+09,0.0191,3.87E+08,0.0187,1.20E+08,0.56,1.743945024,1.704196835,1.704196835,7589495,303.91
29/01/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,7174833.25,2.18E+09,0.0189,3.87E+08,0.0185,1.20E+08,0.57,1.785174287,1.791453321,1.791453321,7549619,311.78
30/01/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,7080037.21,2.21E+09,0.0186,3.87E+08,0.0183,1.20E+08,0.63,1.387917926,1.598645676,1.598645676,7589968,354.53
02/02/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,7374279,2.61E+09,0.0194,3.87E+08,0.019,1.20E+08,0.61,0.309115533,0.55353807,0.55353807,7572506,364.47
03/02/2015,2000019,US0231351067,BBG000BVPV84,AMZN,AMZN US,AMAZON.COM INC,0.33,0.08,0.33,0,7420490.77,2.70E+09,0.0195,3.87E+08,0.0192,1.20E+08,0.71,0.435372968,0.435372968,0.603683394,7567629,363.55
