WORLD,"PATTANI, Thailand, December 5 (IslamOnline.net  amp; News Agencies) - A fleet of military and civil aircraft and helicopters dropped Sunday, December 5, some 120 million paper birds across Thailands troubled Muslim-majority south, described by activists as "
SCI_TECH,America Online and WebEx Communications are evaluating ways to adapt some of the online meeting services they currently offer to business users of AOL #39;s AIM instant messaging network to make these services appealing to other AIM consumers.
BUSINESS,"Motorists coasted through Pennsylvania Turnpike toll plazas for free on Wednesday morning after roughly 1,300 unionized toll collectors and maintenance workers went on "
SPORTS,It no longer matters that Montana #39;s drive to the NCAA Division I-AA football championship game has featured six straight homefield victories - all 
WORLD,"For years, Israel has feuded with the United Nations refugee agency for Palestinians over a wide range of issues, and recently Israel thought it had found a smoking gun to press its case."
BUSINESS,"DaimlerChrysler AG reported third quarter profits of almost 1 billion euros on Thursday, rebounding from a year-earlier loss, thanks to a strong performance from a Chrysler division rejuvenated by new models like the 300C sedan and Dodge Magnum wagon."
SPORTS,Chicago Cubs general manager Jim Hendry said on Tuesday that he #39;s hoping time will heal some of the wounds created by Sammy Sosa #39;s early exit from the season finale and 
WORLD,Saudi officials say security forces have killed a suspected militant in the western city of Jeddah after the man tried to use a hand grenade against them.
WORLD,"BAGHDAD, Iraq - Iraqi militants said they shot and killed an Italian citizen after he tried to break through a guerrilla roadblock on a highway outside the insurgent stronghold of Ramadi."
SPORTS,"The latest personality to pile into the situation concerning the future, if any, of the British Grand Prix is former World Champion Nigel Mansell."
SCI_TECH,"SEPTEMBER 15, 2004 (MACCENTRAL) - Adobe Systems Inc. today introduced Photoshop Elements 3.0, a major upgrade to its consumer-level photo editing application."
WORLD,"In the post-9/11 world, Lockheed Martin has become more than just the nation's biggest military contractor. It is putting its stamp on military policies as well."
SPORTS,"Newfields, N.H., is an unlikely place for a basketball clinic by a former professional player, but that is exactly what is going to take place Saturday when former NBA forward Dwight Davis conducts the first Newfields Youth Basketball Clinic at Newfields Elementary School."
WORLD,HALIFAX - Navy Lieut. Chris Saunders was honoured as a joyful father and a fearless sailor yesterday by mourners on both sides of the ocean following last week #39;s tragic fire on HMCS Chicoutimi.
BUSINESS," NEW YORK (Reuters) - Luxury jeweler Tiffany   Co.    on  Thursday posted an unexpected drop in quarterly earnings and  slashed its profit forecast, as weak silver jewelry sales in  Japan and higher diamonds and precious metals costs more than  offset improved U.S. sales."
WORLD,"A suicide car bomb has killed 17 people near Baghdad #39;s Oil Ministry and a nearby police academy, a ministry spokesman said.  quot;The bomb apparently exploded prematurely at an intersection in front of the academy, quot; spokesman Assem Jihad said."
WORLD, BAGHDAD (Reuters) - Insurgents threatened to behead two  Americans and a Briton captured in Baghdad on Saturday and  launched a suicide car bomb attack on Iraqi security forces in  the northern city of Kirkuk that killed at least 23 people.
SPORTS,"Japan #39;s Makoto Tamada powered into pole position for Sunday #39;s Portuguese Grand Prix, setting a lap record just before the end of qualifying on Saturday."
BUSINESS,Virgin Mobile Holdings PLC reported an 18 percent surge in revenue but lower net profits for the half year Thursday as the costs of its listing on the London Stock Exchange this summer hurt the bottom line.
WORLD,"\Breast cancer is more likely to kill obese women than those of normal weight, research suggests."
SPORTS," ATHENS (Reuters) - Greece, an ancient nation, searched its  soul over a new doping scandal on Saturday while Michael  Phelps, a fresh-faced American teenager, prepared to enter the  Olympic record books without having to swim a stroke. The  Olympics started its eighth day with 32 gold medals up for  grabs in what has been dubbed Super Saturday."
SCI_TECH,"Two separate studies by U.S. researchers find that super drug-resistant strains of tuberculosis are at the tipping point of a global epidemic, and only small changes could help them spread quickly."
SPORTS,Bruce McDonald of Zimbabwe shot a 6-under 66 Thursday to take a one-shot lead over South Africa #39;s Ernie Els at the PGA European Tour #39;s season-opening Dunhill Championship.
BUSINESS,PORTS and shipping company P amp;O is to lay off up to 1200 staff and slash services as part of a 240 million review to reduce costs at its loss-making ferries business.
SPORTS,"Somehow, somewhere, Nicolas Massu of Chile summoned the strength and the shots to win his second gold medal of these Olympics. That #39;s twice as many medals as the star-studded US tennis team, led by Andy Roddick and Venus Williams, managed to win."
SCI_TECH,"Nearly 60 years after Thor Heyerdahl sailed his Kon-Tiki balsa raft across the Pacific to prove a theory about ancient mariners, a team that includes his grandson plans to recreate the 101-day epic voyage - although the craft will have solar panels "
WORLD,"SAN SALVADOR, El Salvador - Imprisoned gang members enraged by a tough new anti-crime law rioted and seized about 100 hostages at two Salvadoran prisons Thursday."
SCI_TECH,"TOKYO (CBS.MW) - Samsung Electronics Co. Ltd. and Sony Corp. on Tuesday signed a cross-licensing agreement, allowing mutual sharing of a number of patents across major product lines held by both companies."
SPORTS,"The Red Sox will make one roster change for the start of the American League Championship Series, adding a veteran reliever in Ramiro Mendoza who is no stranger to postseason "
SPORTS,AP - Suspended Virginia Tech tailback Mike Imoh on Wednesday accepted the same agreement as quarterback Marcus Vick and pleaded no contest to a misdemeanor charge stemming from a night of drinking with underage girls.
BUSINESS,"NEW YORK, Nov. 15 /PRNewswire-FirstCall/ -- American Express Company today filed a lawsuit against Visa, MasterCard and eight major banks that are members of the two card associations."
WORLD," The political crisis in Ukraine has touched off a fresh debate inside the White House and foreign policy offices over how President Bush should handle Russian President Vladimir Putin's increasingly authoritarian rule at home and assertive presence abroad, according to administration officials."
BUSINESS,Kodak said the reductions are because of the increasing popularity of digital photography. The cutbacks are part of the three-year program Kodak announced in January to reduce its 
SPORTS,"SAN DIEGO (Ticker) -- The San Francisco Giants resume their fight for a playoff spot in the second game of their series with the San Diego Padres, who are on the verge of being eliminated from the race."
BUSINESS,"Frank Quattrone, considered the most prominent investment banker of the 1990s technology boom, has been sentenced to 18 months in prison."
WORLD,The head of a separatist movement in Nigeria #39;s southern oil-rich Niger Delta has announced that he intends to meet President Olusegun Obasanjo.
BUSINESS,"Citigroup Inc., which long has sought to expand its retail banking operations to Texas, said Tuesday that it is acquiring the First American Bank of Bryan, Texas."
SPORTS,"AP - Tiger Woods hardly looked like himself until a painful first round at the American Express Championship was over and he signed for a 4-under 68, two shots out of the lead at a tournament he has won the last two years."
SPORTS,"Justin Langer batted and battled through scorching heat to register his 20th century and seal his side #39;s strong position. He spoke to the media after play and was quizzed about the heat, cramps and Matthew "
SPORTS,Ernie Els took a three shot lead against Padraig Harrington at the HSBC World Match Play at Wentworth today. The South African is three up on the Irishman after 17 holes of their semi-final this afternoon.
SPORTS,AP - Wayne Rooney joined Manchester United on Tuesday despite a last minute holdup caused by his broken foot.
WORLD,SRINAGAR: Former Jammu and Kashmir chief minister Farooq Abdullah and his son and National Conference President Omar Abdullah on Sunday escaped unhurt in a terrorist attack in Anantnag district of Jammu and Kashmir.
WORLD,Some art experts believe intricate letters painted on a saint's cloak are artist Raphael's monogram.
BUSINESS,"Reuters - Dell Inc., the world's largest\personal computer maker,  on Thursday posted a higher quarterly\profit, helped by market share gains and lower component costs\despite slowing demand for corporate PCs."
WORLD,"LAS CRUCES, N.M. - President Bush wants to work with Republican Sen..."
BUSINESS,"AP - Consumer prices  #151; stoked by more expensive gasoline as well as pricier fruits and vegetables  #151; heated up in October, rising by 0.6 percent, the biggest gain in five months."
WORLD,THE HAGUE -- The Dutch parliament asked the government yesterday to draft legislation compelling mosques to employ only imams who have studied Islamic religion in the Netherlands.
WORLD," WASHINGTON (Reuters) - A U.N.-mandated agency said on  Wednesday its task of watching over Iraq's oil money was being  hampered by the Bush administration's failure to hand over  audits of Iraq contracts awarded without competitive bids,  including to Halliburton ."
WORLD," NAJAF, Iraq (Reuters) - U.S. forces appeared to keep Sh'ite  militants guessing in the city of Najaf overnight, firing off  sporadic rounds as a military aircraft flew overhead."
WORLD,"Financiers in Europe and Africa were behind a plot to overthrow the government of Africa #39;s No. 3 oil producer, an accused ringleader testified Monday at the "
SCI_TECH,"AP - European Union antitrust regulators on Tuesday cleared Oracle Corp.'s hostile  #36;7.7 billion bid for rival business software maker PeopleSoft Inc., removing one of the last major hurdles to the contested takeover proposal, a person close to the case said."
BUSINESS,COCA-COLA will open its fridges to its rivals after the soft drink giant reached a landmark antitrust settlement last night with the European Union.
SPORTS,"MINNEAPOLIS (AP) -- Brad Radke pitched seven solid innings, Corey Koskie drove in three runs and the Minnesota Twins beat the New York Yankees in the regular season for the first time since 2001 with an 8-2 victory Tuesday night."
SCI_TECH,"&lt;a href=""http://www.dallasnews.com/sharedcontent/dws/bus/stories/110304dnbusnokia.a233e.html""&gt;Nokia plans wave of camera phones&lt;/a&gt; &lt;font size=-1 color=#6f6f6f&gt;&lt;nobr&gt;Dallas Morning News (subscription)&lt;/nobr&gt;"
SPORTS,"Real Madrid accepted the resignation of coach Jose Antonio Camacho on Monday, two days after a loss to Espanyol that was its second in four days."
SCI_TECH,"NASA #39;s Mars Odyssey mission, originally scheduled to end on Tuesday, has been granted a stay of execution until at least September 2006, reveal NASA scientists."
WORLD,"Dubai - An Islamist group has claimed that it hijacked two Russian planes that crashed this week, killing at least 89 people, and threatened more attacks, according to an Internet statement posted on Friday."
SPORTS,Buffalo football fans who were parked on barstools nonchalantly shrugged off Saturday night #39;s Big 12 big blowout. The second-ranked Oklahoma Sooners pounded the University 
SCI_TECH,The defense-related work is estimated to be worth \$200 billion.
WORLD,"North Korea on Wednesday warned of a ""nuclear arms race"" in Northeast Asia following the recent revelation that South Korean scientists enriched a tiny amount of uranium four years ago, a news report said."
SPORTS,"Sven-Goran Eriksson, England #39;s head coach, said last night that he would be advising David Beckham that  quot;silence is golden quot;."
WORLD,"ATHENS, Greece - Now this was a duel in the pool. With Michael Phelps leading off Tuesday night, the United States bested its top rival in the most thrilling race of the Athens Games..."
SPORTS," BOSTON (Reuters) - Mark Bellhorn cracked an eighth-inning,  game-winning homer as the Boston Red Sox fended off the ""Curse  of the Bambino"" and the St. Louis Cardinals 11-9 to get the  100th World Series off to a wild start Saturday."
SCI_TECH,Wikipedia has surprised Web watchers by growing fast and maturing into one of the most popular reference sites.
WORLD,"AP - Israel's defense minister decided Thursday to launch a large-scale military operation in the Gaza Strip to stop Palestinian rocket fire on Israeli border towns, an Israeli radio station reported."
SPORTS,"For starters, the Pistons played well enough to win their season opener Tuesday night against the Houston Rockets. But down the road, they will need more help off the bench."
WORLD,"Thanks to a break in the weather, search teams have found the black box of a cargo jet that crashed at Halifax #39;s International Airport last week."
SCI_TECH,"Britain's old ships are being dismantled in ""unacceptable"" conditions in the developing world, an MPs' committee says."
SCI_TECH,"Google has launched a search service for mobile devices, based on the SMS (short messaging service) protocol. Users can perform searches for phone numbers, dictionary definitions and product "
WORLD,Iraqi political figures continued on Sunday to react to a movement by Sunni Arabs to delay elections by six months.
WORLD,China and the United States are close to ending a 15-year-old dispute over nuclear technology transfers that has prevented US companies from selling nuclear reactors 
SCI_TECH," NEW YORK (Reuters) - DVD recorders are getting cheaper and  easier to use, but that may not be enough to spark demand for  the sluggish selling devices."
SCI_TECH,"AP - The proposed new federal policy for salmon hatcheries is based on a flawed reading of the Endangered Species Act, hindering efforts to restore wild salmon runs with hatchery fish, scientists say."
BUSINESS,"AP - A US court says the makers of two leading file-sharing programs are not legally liable for the songs, movies and other copyright works swapped online by their users, in a stinging blow to the entertainment industry. "
SPORTS,"Baseball isn #39;t only coming to Washington, it #39;s also coming to a Washington-based company. XM Satellite Radio Holdings will pay \$59 million a year to broadcast most regular and post-season "
WORLD,JAPAN was on alert yesterday after a suspected Chinese nuclear submarine entered its territorial waters. The submarine was detected in Japanese waters near islands disputed with China about 300km southwest 
SPORTS,"If Shannon Sharpe, who was at the Broncos #39; exhibition finale on Thursday and spotted at team headquarters this weekend, wanted to he could roll off the "
SPORTS,Iranians are swelling with pride after weightlifter Hossein Rezazadeh confirmed his status as the world #39;s strongest man at the Athens Olympics.
SPORTS,"ATHENS -- Andy Roddick hit one final errant shot into the net and hung his head, his medal hopes over. A short while later, Venus Williams was gone, too. "
BUSINESS,A PROFIT warning from Coca-Cola put the skids under US equities yesterday and a Goldman Sachs survey showing softening corporate spending on technology added to the gloomy mood.
BUSINESS,"FEW things stir the heart of stock investors like a huge merger deal. And last week #39;s shotgun wedding between Kmart and Sears, two limping retailers, was no exception."
BUSINESS,Australian oil producers #39; stocks such as Woodside Petroleum Ltd. rose after crude oil climbed to a record amid concern that hurricane damage in North America will disrupt supply.
BUSINESS,"Caesars Entertainment Inc.(CZR.N: Quote, Profile, Research) on Thursday posted a rise in third-quarter profit as Las Vegas hotels filled up and Atlantic City properties squeaked out a profit that was unexpected by the company."
SPORTS," BEIJING (Reuters) - The Sacramento Kings beat the Houston  Rockets in a nail-biter pre-season game in Beijing on Sunday,  91-89, on a baseline jumpshot by reserve guard Bobby Jackson in  the final seconds."
WORLD,"The death toll from a blast that ripped through a fireworks factory in central Thailand rose to 11 on Monday, police said.  quot;At this moment the death toll is 11 and one person is in the ICU, quot; Police Lt."
WORLD,Reuters - Anglican Church head Rowan Williams has\warned church leaders that criticism of gay people could make\them vulnerable to persecution or suicide.
SPORTS,"To hear him, you #39;d think the guy was some wide-eyed, talk-radio type prattling on about the latest kid to slip a couple of tackles."
SPORTS,"The sprinter Torri Edwards of the United States was knocked out of the Olympics for good yesterday when an arbitration panel upheld her two-year drug suspension, saying she should have known tablets provided by her doctor contained ..."
SPORTS," GAINESVILLE, Fla. (Sports Network) - The start time of  Saturday's college football game between 16th-ranked Florida  and Kentucky at Ben Hill Griffin Stadium in Gainesville was  moved from 6 p.m. (et) to 11:30 a.m. (et)."
SPORTS,"The Red Sox never said their first offer to Pedro Martinez was their last. And while one prominent member of the Yankees after another wooed the three-time Cy Young Award winner in recent days, the Sox sweetened their offer to Martinez, though not enough to reach an agreement with the prized free agent."
SCI_TECH,"AP - For years, programmers at Microsoft Corp. and elsewhere have worked to make it easier for devices like cell phones and personal digital assistants to work instantly and easily with computers."
SPORTS,"First you have to look at the Dallas Cowboys. Last year they won 10 games, made the playoffs, and of course lost to the Carolina Panthers who went onto the Super Bowl."
WORLD,"&lt;p&gt;&lt;/p&gt;&lt;p&gt; By Joseph Guyler Delva&lt;/p&gt;&lt;p&gt; GONAIVES, Haiti (Reuters) - A Brazilian soldier with theU.N. peacekeeping force in Haiti was shot and wounded Saturdaywhen peacekeepers and local police faced gunfire in a crackdownon armed gangs in the Haitian capital.&lt;/p&gt;"
SPORTS,You know who you are. The ones who choose the right path. The ones who perform at a competitive disadvantage. The ones who refuse to alter your bodies with performance-enhancing drugs.
SCI_TECH,"AP - Pope John Paul II received an honorary degree Tuesday from Nicholas Copernicus University in his native Poland, calling it a ""sign of dialogue"" between science and faith."
BUSINESS,"Privatisation and trade liberalisation policies foisted on developing countries in return for financial help are often bad for the poor, according to a confidential government paper."
SCI_TECH,"By MIKE BRANOM     ORLANDO, Fla. (AP) -- A former NASA safety inspector accused of falsifying examinations of crucial parts on the space shuttle Discovery pleaded not guilty Friday in federal court, and his attorney called him ""meticulous in his work.""    A trial for Billy T..."
WORLD,"JERUSALEM, Oct 4 (AFP) - A French humanitarian group said Monday the Israeli army #39;s huge ongoing offensive in northern Gaza was hampering access to wounded Palestinians and that basic supplies were running out."
WORLD,"AFP - US President George W. Bush told Russian President Vladimir Putin in person for the first time that he worried about ""overcentralization of power"" in the Kremlin, said a senior US official."
SPORTS,"FLUSHING, New York (Ticker) -- A little bit of rest has done Kris Benson a world of good. Benson recorded his first shutout in more than four years and David Wright and Cliff Floyd each homered and drove in "
BUSINESS,"WASHINGTON Aug. 25, 2004 - America #39;s factories saw orders for costly manufactured goods in July post the biggest gain in four months, an encouraging sign that the economy is emerging from an early summer funk."
WORLD,"UNITED NATIONS Sept. 24, 2004 - China on Friday welcomed a Russian draft resolution to draw up a new list of terror suspects who would be subject to extradition in a stepped-up global campaign against terrorism."
BUSINESS,"(Hartford, Connecticut-Dow Jones/AP) Aug. 20, 2004 - Health-insurance giant Aetna says it #39;s agreed to buy Strategic Resource Company of Columbia for \$250 million. "
SPORTS,"A US tennis team expected to collect a gold rush or at least challenge for one, instead got derailed just after coming out of the gate. "
BUSINESS," SAN FRANCISCO (Reuters) - IBM is expanding and adding new  technology to 11 of its data centers in North America, Europe  and Asia to meet growing demand and rolled out new services to  customers, the world's largest computer company said late on  Thursday."
BUSINESS,Nov. 18--Lockheed Martin has introduced evidence in a civil lawsuit that allegedly demonstrates Boeing Chief Executive Harry Stonecipher knew former Air Force acquisitions officer Darleen Druyun gave Boeing 
WORLD,"Sudan #39;s government and southern rebels have crossed the last bridge in efforts to end 21 years of war and peace is now inevitable, UN envoy for Sudan Jan Pronk said on Sunday."
SPORTS,The numbers keep coming up. Impressive numbers that should draw praise. Numbers like nine or more wins for eight straight seasons.
WORLD," TOKYO (Reuters) - Japan sought international and Iraqi help  for a Japanese man held hostage in Iraq on Thursday, less than  24 hours before a deadline set by his captors to behead him  unless Japan withdraws its troops."
SCI_TECH,"If calling, text messaging, web browsing and video filming aren't enough for you, your cell phone may soon be able to perform another function as well: paying for lunch. But is it secure? By Laila Weir."
SCI_TECH,"BioVeris Corp. announced yesterday that it settled two lawsuits against Jacob N. Wohlstadter, its chief executive's son, whom the company had accused of spending millions of dollars on cars and real estate to sabotage a joint venture he ran so he could purchase it for a bargain price."
WORLD,Presidential elections began early Sunday in Romania with around 18 million eligible voters expected to vote in the first round of the race.
BUSINESS," NEW YORK (Reuters) - U.S. Treasury debt prices fell for a  second straight session on Wednesday, pressured by a wave of  profit-taking after repeated failures to break recent lows on  yields."
WORLD,"LOS ANGELES - Michael Imperioli and Drea de Matteo, who played a hard-luck mob couple whose relationship ended badly on the HBO drama ""The Sopranos,"" won drama series supporting actor and actress Emmys Sunday.    The stars of two departing series captured the comedy supporting actor and actress awards: David Hyde Pierce for ""Frasier,"" which ended its 11-year run, and Cynthia Nixon for ""Sex and the City,"" which wrapped a six-year run..."
SCI_TECH,Users of Red Hat Linux have been targeted by a fraudulent electronic mail advising recipients to install a  quot;security update quot; containing mailicious code.
BUSINESS,"Oil prices climbed above \$47 a barrel, setting yet another record, after figures showed that supplies in the United States were down for a third consecutive week."
SPORTS,"WEST PALM BEACH, United States : Swedish star Annika Sorenstam shot a six-under-par 66 in the first round at the season-ending one million dollar ADT Championship."
SCI_TECH,"Investor's Business Daily - When Matrix Partners gave  #36;10 million to open-source software maker JBoss Group last February, some wondered whether the venture capital investors had lost their minds."
SPORTS,"World Cup overall leader Bode Miller won a giant slalom for the second time this season Sunday, rallying from fourth place in the opening leg."
SCI_TECH,The electronics maker begins sales of wireless television set as it emphasizes advances in the boob tube.
SPORTS,"The Sword of Damocles no longer hangs over Real Madrid. Trailing Barcelona by nine points in the Spanish league, defeat here last night would have put them out of the competition they consider their own."
SCI_TECH,TOKYO -- Sony Corp. #39;s PlayStation Portable isn #39;t in US stores yet but that #39;s not stopping Sony from putting a price tag on the much anticipated item.
BUSINESS,"Plum Creek Timber Co. on Monday posted a 71 percent surge in third-quarter profit, helped by higher prices for lumber products during the quarter."
BUSINESS,"E. Neville Isdell, Coca-Cola Co. #39;s new chairman and chief executive officer, could receive an annual compensation package worth \$15 million."
SCI_TECH,"UK Police have arrested a 20-year old man in Preston on suspicion of stealing source code from Cisco Systems. The arrest under violation of the Computer Misuse Act 1990, follows Cisco #39;s admission in May that "
SPORTS,Brazilian fans got a little bit too excited during the final of the women #39;s beach volleyball competition. Seeing that their team of Shelda Bede and Adriana Behar was struggling 
SCI_TECH,Reuters - Britain proposed new laws on Tuesday to\stop increasingly militant animal rights campaigners from\harassing scientists involved in medical experiments.
BUSINESS,The Federal Reserve Bank of Philadelphia #39;s index of regional manufacturing fell to 13.4 this month from 28.5 in August. The reading is lower than the median forecast of 25 in a Bloomberg News survey of 56 economists.
